,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
57,0.2,0.01,96,1,96-0,11,Bernoulli,Diff-Means-Frac-0.75,-1.1015668596110073
58,0.2,0.01,96,1,96-0,11,Bernoulli,LeastSqs-Prop,0.017042223843239144
59,0.2,0.01,96,1,96-0,11,Bernoulli,LeastSqs-Num,0.01752610018052494
60,0.2,0.01,96,1,96-0,12,Bernoulli,Graph-Aware,0.12397913235060308
61,0.2,0.01,96,1,96-0,12,Bernoulli,Diff-Means-Stnd,-0.009131414610937812
62,0.2,0.01,96,1,96-0,12,Bernoulli,Diff-Means-Frac-0.75,-0.13179645269910825
63,0.2,0.01,96,1,96-0,12,Bernoulli,LeastSqs-Prop,-0.007142918196852826
64,0.2,0.01,96,1,96-0,12,Bernoulli,LeastSqs-Num,-0.02202040811307666
65,0.2,0.01,96,1,96-0,13,Bernoulli,Graph-Aware,-0.024545143632946183
66,0.2,0.01,96,1,96-0,13,Bernoulli,Diff-Means-Stnd,-0.015367965229594991
67,0.2,0.01,96,1,96-0,13,Bernoulli,Diff-Means-Frac-0.75,0.23783230019039564
68,0.2,0.01,96,1,96-0,13,Bernoulli,LeastSqs-Prop,-0.016772173554087798
69,0.2,0.01,96,1,96-0,13,Bernoulli,LeastSqs-Num,-0.018793186873633447
70,0.2,0.01,96,1,96-0,14,Bernoulli,Graph-Aware,0.05572459533100109
71,0.2,0.01,96,1,96-0,14,Bernoulli,Diff-Means-Stnd,-0.0014263443992904117
72,0.2,0.01,96,1,96-0,14,Bernoulli,Diff-Means-Frac-0.75,0.5547914530780299
73,0.2,0.01,96,1,96-0,14,Bernoulli,LeastSqs-Prop,0.009415553983574205
74,0.2,0.01,96,1,96-0,14,Bernoulli,LeastSqs-Num,0.01446640710066806
75,0.2,0.01,96,1,96-0,15,Bernoulli,Graph-Aware,0.08468906818470359
76,0.2,0.01,96,1,96-0,15,Bernoulli,Diff-Means-Stnd,-0.003582987499040729
77,0.2,0.01,96,1,96-0,15,Bernoulli,Diff-Means-Frac-0.75,0.38836464555320677
78,0.2,0.01,96,1,96-0,15,Bernoulli,LeastSqs-Prop,0.026643306750629293
79,0.2,0.01,96,1,96-0,15,Bernoulli,LeastSqs-Num,0.004029326850115277
80,0.2,0.01,96,1,96-0,16,Bernoulli,Graph-Aware,-0.004708555846790675
81,0.2,0.01,96,1,96-0,16,Bernoulli,Diff-Means-Stnd,-0.008542556060217301
82,0.2,0.01,96,1,96-0,16,Bernoulli,Diff-Means-Frac-0.75,0.6285967750365699
83,0.2,0.01,96,1,96-0,16,Bernoulli,LeastSqs-Prop,-0.004274130881780689
84,0.2,0.01,96,1,96-0,16,Bernoulli,LeastSqs-Num,-0.009554684317462746
85,0.2,0.01,96,1,96-0,17,Bernoulli,Graph-Aware,0.26995115482674154
86,0.2,0.01,96,1,96-0,17,Bernoulli,Diff-Means-Stnd,-0.004671159406662277
87,0.2,0.01,96,1,96-0,17,Bernoulli,Diff-Means-Frac-0.75,-0.5487046038647171
88,0.2,0.01,96,1,96-0,17,Bernoulli,LeastSqs-Prop,-0.0036396334379954418
89,0.2,0.01,96,1,96-0,17,Bernoulli,LeastSqs-Num,-0.013043467249070314
90,0.2,0.01,96,1,96-0,18,Bernoulli,Graph-Aware,-0.0010670853988250422
91,0.2,0.01,96,1,96-0,18,Bernoulli,Diff-Means-Stnd,-0.009579946789202593
92,0.2,0.01,96,1,96-0,18,Bernoulli,Diff-Means-Frac-0.75,0.20337598014654207
93,0.2,0.01,96,1,96-0,18,Bernoulli,LeastSqs-Prop,-0.0005765687318333535
94,0.2,0.01,96,1,96-0,18,Bernoulli,LeastSqs-Num,-0.018852860160033298
95,0.2,0.01,96,1,96-0,19,Bernoulli,Graph-Aware,0.11498320754491122
96,0.2,0.01,96,1,96-0,19,Bernoulli,Diff-Means-Stnd,-0.022395683088399232
97,0.2,0.01,96,1,96-0,19,Bernoulli,Diff-Means-Frac-0.75,0.7544538116743139
98,0.2,0.01,96,1,96-0,19,Bernoulli,LeastSqs-Prop,-0.017452447859863683
99,0.2,0.01,96,1,96-0,19,Bernoulli,LeastSqs-Num,-0.023875296399430194
100,0.2,0.01,96,1,96-0,20,Bernoulli,Graph-Aware,0.09572421561036709
101,0.2,0.01,96,1,96-0,20,Bernoulli,Diff-Means-Stnd,-0.006346146832495287
102,0.2,0.01,96,1,96-0,20,Bernoulli,Diff-Means-Frac-0.75,0.5208849026818975
103,0.2,0.01,96,1,96-0,20,Bernoulli,LeastSqs-Prop,0.027033115877272897
104,0.2,0.01,96,1,96-0,20,Bernoulli,LeastSqs-Num,0.021127271512526212
105,0.2,0.01,96,1,96-0,21,Bernoulli,Graph-Aware,-0.06462412780134325
106,0.2,0.01,96,1,96-0,21,Bernoulli,Diff-Means-Stnd,-0.0276451023525026
107,0.2,0.01,96,1,96-0,21,Bernoulli,Diff-Means-Frac-0.75,-0.12292333841547748
108,0.2,0.01,96,1,96-0,21,Bernoulli,LeastSqs-Prop,0.026765145707758335
109,0.2,0.01,96,1,96-0,21,Bernoulli,LeastSqs-Num,0.010938158441473264
110,0.2,0.01,96,1,96-0,22,Bernoulli,Graph-Aware,0.07978457240823465
111,0.2,0.01,96,1,96-0,22,Bernoulli,Diff-Means-Stnd,0.03222690428792015
112,0.2,0.01,96,1,96-0,22,Bernoulli,Diff-Means-Frac-0.75,0.12010753681227018
113,0.2,0.01,96,1,96-0,22,Bernoulli,LeastSqs-Prop,0.05058256492270325
114,0.2,0.01,96,1,96-0,22,Bernoulli,LeastSqs-Num,0.020560812660701193
115,0.2,0.01,96,1,96-0,23,Bernoulli,Graph-Aware,-0.1345045115021779
116,0.2,0.01,96,1,96-0,23,Bernoulli,Diff-Means-Stnd,-0.0025489235356085803
117,0.2,0.01,96,1,96-0,23,Bernoulli,Diff-Means-Frac-0.75,-1.1013540500058194
118,0.2,0.01,96,1,96-0,23,Bernoulli,LeastSqs-Prop,0.019357583747104612
119,0.2,0.01,96,1,96-0,23,Bernoulli,LeastSqs-Num,0.018496192496881284
120,0.2,0.01,96,1,96-0,24,Bernoulli,Graph-Aware,0.18867707472258372
121,0.2,0.01,96,1,96-0,24,Bernoulli,Diff-Means-Stnd,0.005775750163882167
122,0.2,0.01,96,1,96-0,24,Bernoulli,Diff-Means-Frac-0.75,0.2600347772976367
123,0.2,0.01,96,1,96-0,24,Bernoulli,LeastSqs-Prop,0.011916264793014395
124,0.2,0.01,96,1,96-0,24,Bernoulli,LeastSqs-Num,0.0060355338785268945
125,0.2,0.01,96,1,96-0,25,Bernoulli,Graph-Aware,-0.22505521910846815
126,0.2,0.01,96,1,96-0,25,Bernoulli,Diff-Means-Stnd,-0.017504899006142747
127,0.2,0.01,96,1,96-0,25,Bernoulli,Diff-Means-Frac-0.75,-1.1016754138116127
128,0.2,0.01,96,1,96-0,25,Bernoulli,LeastSqs-Prop,-0.03581606027725644
129,0.2,0.01,96,1,96-0,25,Bernoulli,LeastSqs-Num,-0.03140863740278608
130,0.2,0.01,96,1,96-0,26,Bernoulli,Graph-Aware,-0.07783485820349687
131,0.2,0.01,96,1,96-0,26,Bernoulli,Diff-Means-Stnd,-0.027761284550587954
132,0.2,0.01,96,1,96-0,26,Bernoulli,Diff-Means-Frac-0.75,-1.102008586303408
133,0.2,0.01,96,1,96-0,26,Bernoulli,LeastSqs-Prop,0.015013147534444713
134,0.2,0.01,96,1,96-0,26,Bernoulli,LeastSqs-Num,-0.005347483102538718
