,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.03,2,96,1,96-0,0,Bernoulli,Graph-Aware,0.12470882820528319
1,0.03,2,96,1,96-0,0,Bernoulli,Diff-Means-Stnd,-0.6631234100723676
2,0.03,2,96,1,96-0,0,Bernoulli,Diff-Means-Frac-0.75,-1.0542662839012644
3,0.03,2,96,1,96-0,0,Bernoulli,LeastSqs-Prop,-0.19887229641171947
4,0.03,2,96,1,96-0,0,Bernoulli,LeastSqs-Num,0.054437104949569645
5,0.03,2,96,1,96-0,1,Bernoulli,Graph-Aware,-0.15201315620718836
6,0.03,2,96,1,96-0,1,Bernoulli,Diff-Means-Stnd,-0.6483262758129416
7,0.03,2,96,1,96-0,1,Bernoulli,Diff-Means-Frac-0.75,-1.0505409939280936
8,0.03,2,96,1,96-0,1,Bernoulli,LeastSqs-Prop,-0.20090064528076132
9,0.03,2,96,1,96-0,1,Bernoulli,LeastSqs-Num,0.047749601450711755
10,0.03,2,96,1,96-0,2,Bernoulli,Graph-Aware,-0.04433660960370583
11,0.03,2,96,1,96-0,2,Bernoulli,Diff-Means-Stnd,-0.6774112010821007
12,0.03,2,96,1,96-0,2,Bernoulli,Diff-Means-Frac-0.75,-1.0529570047795258
13,0.03,2,96,1,96-0,2,Bernoulli,LeastSqs-Prop,-0.1816992487241165
14,0.03,2,96,1,96-0,2,Bernoulli,LeastSqs-Num,0.08880989279780838
15,0.03,2,96,1,96-0,3,Bernoulli,Graph-Aware,-0.011835461516743494
16,0.03,2,96,1,96-0,3,Bernoulli,Diff-Means-Stnd,-0.6464336413789846
17,0.03,2,96,1,96-0,3,Bernoulli,Diff-Means-Frac-0.75,-1.053046521650232
18,0.03,2,96,1,96-0,3,Bernoulli,LeastSqs-Prop,-0.16569735468028277
19,0.03,2,96,1,96-0,3,Bernoulli,LeastSqs-Num,0.10341874137997614
20,0.03,2,96,1,96-0,4,Bernoulli,Graph-Aware,-0.06213951828993924
21,0.03,2,96,1,96-0,4,Bernoulli,Diff-Means-Stnd,-0.66692450009466
22,0.03,2,96,1,96-0,4,Bernoulli,Diff-Means-Frac-0.75,-1.0522715286975282
23,0.03,2,96,1,96-0,4,Bernoulli,LeastSqs-Prop,-0.2303340660140642
24,0.03,2,96,1,96-0,4,Bernoulli,LeastSqs-Num,0.051040959980372246
25,0.03,2,96,1,96-0,5,Bernoulli,Graph-Aware,-0.050006230236205956
26,0.03,2,96,1,96-0,5,Bernoulli,Diff-Means-Stnd,-0.6527774974368777
27,0.03,2,96,1,96-0,5,Bernoulli,Diff-Means-Frac-0.75,-1.0522509555987258
28,0.03,2,96,1,96-0,5,Bernoulli,LeastSqs-Prop,-0.22263496443032973
29,0.03,2,96,1,96-0,5,Bernoulli,LeastSqs-Num,0.03688502851242013
30,0.03,2,96,1,96-0,6,Bernoulli,Graph-Aware,0.16817857209459577
31,0.03,2,96,1,96-0,6,Bernoulli,Diff-Means-Stnd,-0.6595226957147746
32,0.03,2,96,1,96-0,6,Bernoulli,Diff-Means-Frac-0.75,-1.054589071662066
33,0.03,2,96,1,96-0,6,Bernoulli,LeastSqs-Prop,-0.20148386726208642
34,0.03,2,96,1,96-0,6,Bernoulli,LeastSqs-Num,0.058922125633521796
35,0.03,2,96,1,96-0,7,Bernoulli,Graph-Aware,-0.21062497757872586
36,0.03,2,96,1,96-0,7,Bernoulli,Diff-Means-Stnd,-0.6644319199995304
37,0.03,2,96,1,96-0,7,Bernoulli,Diff-Means-Frac-0.75,-1.050105015447773
38,0.03,2,96,1,96-0,7,Bernoulli,LeastSqs-Prop,-0.2449668821266498
39,0.03,2,96,1,96-0,7,Bernoulli,LeastSqs-Num,-0.0022038182293547914
40,0.03,2,96,1,96-0,8,Bernoulli,Graph-Aware,-0.021032680723651907
41,0.03,2,96,1,96-0,8,Bernoulli,Diff-Means-Stnd,-0.6786356049911333
42,0.03,2,96,1,96-0,8,Bernoulli,Diff-Means-Frac-0.75,-1.0534112515547926
43,0.03,2,96,1,96-0,8,Bernoulli,LeastSqs-Prop,-0.18790505721107528
44,0.03,2,96,1,96-0,8,Bernoulli,LeastSqs-Num,0.07469769895791961
45,0.03,2,96,1,96-0,9,Bernoulli,Graph-Aware,-0.08467073146701375
46,0.03,2,96,1,96-0,9,Bernoulli,Diff-Means-Stnd,-0.6914567728912575
47,0.03,2,96,1,96-0,9,Bernoulli,Diff-Means-Frac-0.75,-1.0537859485105336
48,0.03,2,96,1,96-0,9,Bernoulli,LeastSqs-Prop,-0.16826857887015784
49,0.03,2,96,1,96-0,9,Bernoulli,LeastSqs-Num,0.11750681258992421
50,0.03,2,96,1,96-0,10,Bernoulli,Graph-Aware,0.0030915922347132837
51,0.03,2,96,1,96-0,10,Bernoulli,Diff-Means-Stnd,-0.6800519853211451
52,0.03,2,96,1,96-0,10,Bernoulli,Diff-Means-Frac-0.75,-1.0531171046253536
53,0.03,2,96,1,96-0,10,Bernoulli,LeastSqs-Prop,-0.22539530783518236
54,0.03,2,96,1,96-0,10,Bernoulli,LeastSqs-Num,0.005245655279084172
55,0.03,2,96,1,96-0,11,Bernoulli,Graph-Aware,-0.05079740394378231
56,0.03,2,96,1,96-0,11,Bernoulli,Diff-Means-Stnd,-0.6738166675583698
57,0.03,2,96,1,96-0,11,Bernoulli,Diff-Means-Frac-0.75,-1.053911859981571
58,0.03,2,96,1,96-0,11,Bernoulli,LeastSqs-Prop,-0.1454996290935644
59,0.03,2,96,1,96-0,11,Bernoulli,LeastSqs-Num,0.13643949298677435
60,0.03,2,96,1,96-0,12,Bernoulli,Graph-Aware,-0.037834389564158986
61,0.03,2,96,1,96-0,12,Bernoulli,Diff-Means-Stnd,-0.6503221931868628
62,0.03,2,96,1,96-0,12,Bernoulli,Diff-Means-Frac-0.75,-1.0535150662631505
63,0.03,2,96,1,96-0,12,Bernoulli,LeastSqs-Prop,-0.17124773443642047
64,0.03,2,96,1,96-0,12,Bernoulli,LeastSqs-Num,0.10820277328880781
65,0.03,2,96,1,96-0,13,Bernoulli,Graph-Aware,0.027102439268558334
66,0.03,2,96,1,96-0,13,Bernoulli,Diff-Means-Stnd,-0.6560617691165189
67,0.03,2,96,1,96-0,13,Bernoulli,Diff-Means-Frac-0.75,-1.0532684313336005
68,0.03,2,96,1,96-0,13,Bernoulli,LeastSqs-Prop,-0.19396399745910983
69,0.03,2,96,1,96-0,13,Bernoulli,LeastSqs-Num,0.0830195643112189
70,0.03,2,96,1,96-0,14,Bernoulli,Graph-Aware,0.2031296113706154
71,0.03,2,96,1,96-0,14,Bernoulli,Diff-Means-Stnd,-0.6688859069931345
72,0.03,2,96,1,96-0,14,Bernoulli,Diff-Means-Frac-0.75,-1.055024300842483
73,0.03,2,96,1,96-0,14,Bernoulli,LeastSqs-Prop,-0.18388120354464055
74,0.03,2,96,1,96-0,14,Bernoulli,LeastSqs-Num,0.11381605419647212
75,0.03,2,96,1,96-0,15,Bernoulli,Graph-Aware,-0.20081782978317939
76,0.03,2,96,1,96-0,15,Bernoulli,Diff-Means-Stnd,-0.676514673125219
77,0.03,2,96,1,96-0,15,Bernoulli,Diff-Means-Frac-0.75,-1.0519363012330514
78,0.03,2,96,1,96-0,15,Bernoulli,LeastSqs-Prop,-0.21345083735661421
79,0.03,2,96,1,96-0,15,Bernoulli,LeastSqs-Num,0.062078696096159056
80,0.03,2,96,1,96-0,16,Bernoulli,Graph-Aware,0.1439601255279016
81,0.03,2,96,1,96-0,16,Bernoulli,Diff-Means-Stnd,-0.6649712564433493
82,0.03,2,96,1,96-0,16,Bernoulli,Diff-Means-Frac-0.75,-1.0552267815355842
83,0.03,2,96,1,96-0,16,Bernoulli,LeastSqs-Prop,-0.1974619581638062
84,0.03,2,96,1,96-0,16,Bernoulli,LeastSqs-Num,0.08391665917623496
85,0.03,2,96,1,96-0,17,Bernoulli,Graph-Aware,0.1722521956336529
86,0.03,2,96,1,96-0,17,Bernoulli,Diff-Means-Stnd,-0.6635063684064809
87,0.03,2,96,1,96-0,17,Bernoulli,Diff-Means-Frac-0.75,-1.0554791709414668
88,0.03,2,96,1,96-0,17,Bernoulli,LeastSqs-Prop,-0.20885708723139793
89,0.03,2,96,1,96-0,17,Bernoulli,LeastSqs-Num,0.06719415407584133
90,0.03,2,96,1,96-0,18,Bernoulli,Graph-Aware,0.03075426295813908
91,0.03,2,96,1,96-0,18,Bernoulli,Diff-Means-Stnd,-0.6553414235797325
92,0.03,2,96,1,96-0,18,Bernoulli,Diff-Means-Frac-0.75,-1.0531910609384254
93,0.03,2,96,1,96-0,18,Bernoulli,LeastSqs-Prop,-0.19844388708928135
94,0.03,2,96,1,96-0,18,Bernoulli,LeastSqs-Num,0.08900803700856312
95,0.03,2,96,1,96-0,19,Bernoulli,Graph-Aware,-0.07295574591269491
96,0.03,2,96,1,96-0,19,Bernoulli,Diff-Means-Stnd,-0.6638523253852441
97,0.03,2,96,1,96-0,19,Bernoulli,Diff-Means-Frac-0.75,-1.0523571215143113
98,0.03,2,96,1,96-0,19,Bernoulli,LeastSqs-Prop,-0.20783463336858446
99,0.03,2,96,1,96-0,19,Bernoulli,LeastSqs-Num,0.08649788004080282
100,0.03,2,96,1,96-0,20,Bernoulli,Graph-Aware,0.059604780519828
101,0.03,2,96,1,96-0,20,Bernoulli,Diff-Means-Stnd,-0.6888878230296215
102,0.03,2,96,1,96-0,20,Bernoulli,Diff-Means-Frac-0.75,-1.0537200805138842
103,0.03,2,96,1,96-0,20,Bernoulli,LeastSqs-Prop,-0.2728596984551891
104,0.03,2,96,1,96-0,20,Bernoulli,LeastSqs-Num,0.0018578907554968212
105,0.03,2,96,1,96-0,21,Bernoulli,Graph-Aware,-0.004234459509250677
106,0.03,2,96,1,96-0,21,Bernoulli,Diff-Means-Stnd,-0.655448608957171
107,0.03,2,96,1,96-0,21,Bernoulli,Diff-Means-Frac-0.75,-1.052951514910266
108,0.03,2,96,1,96-0,21,Bernoulli,LeastSqs-Prop,-0.20571231952637212
109,0.03,2,96,1,96-0,21,Bernoulli,LeastSqs-Num,0.05288497371650863
110,0.03,2,96,1,96-0,22,Bernoulli,Graph-Aware,0.0889559730032216
111,0.03,2,96,1,96-0,22,Bernoulli,Diff-Means-Stnd,-0.6630276757318776
112,0.03,2,96,1,96-0,22,Bernoulli,Diff-Means-Frac-0.75,-1.0531515821760695
113,0.03,2,96,1,96-0,22,Bernoulli,LeastSqs-Prop,-0.244858966857368
114,0.03,2,96,1,96-0,22,Bernoulli,LeastSqs-Num,0.015235743177638894
115,0.03,2,96,1,96-0,23,Bernoulli,Graph-Aware,-0.14536695101792654
116,0.03,2,96,1,96-0,23,Bernoulli,Diff-Means-Stnd,-0.6561536231785082
117,0.03,2,96,1,96-0,23,Bernoulli,Diff-Means-Frac-0.75,-1.050218943300149
118,0.03,2,96,1,96-0,23,Bernoulli,LeastSqs-Prop,-0.23700214543922626
119,0.03,2,96,1,96-0,23,Bernoulli,LeastSqs-Num,-0.006295387402091149
120,0.03,2,96,1,96-0,24,Bernoulli,Graph-Aware,-0.03267191697301238
121,0.03,2,96,1,96-0,24,Bernoulli,Diff-Means-Stnd,-0.6725557567385565
122,0.03,2,96,1,96-0,24,Bernoulli,Diff-Means-Frac-0.75,-1.0522435939892725
123,0.03,2,96,1,96-0,24,Bernoulli,LeastSqs-Prop,-0.214880957603027
124,0.03,2,96,1,96-0,24,Bernoulli,LeastSqs-Num,0.04702567358490303
125,0.03,2,96,1,96-0,25,Bernoulli,Graph-Aware,-0.12316065816884805
126,0.03,2,96,1,96-0,25,Bernoulli,Diff-Means-Stnd,-0.681909130322743
127,0.03,2,96,1,96-0,25,Bernoulli,Diff-Means-Frac-0.75,-1.0521265148135044
128,0.03,2,96,1,96-0,25,Bernoulli,LeastSqs-Prop,-0.2209523760081162
129,0.03,2,96,1,96-0,25,Bernoulli,LeastSqs-Num,0.04427664344543581
130,0.03,2,96,1,96-0,26,Bernoulli,Graph-Aware,-0.12229002871195367
131,0.03,2,96,1,96-0,26,Bernoulli,Diff-Means-Stnd,-0.6724605108328621
132,0.03,2,96,1,96-0,26,Bernoulli,Diff-Means-Frac-0.75,-1.0528225521033325
133,0.03,2,96,1,96-0,26,Bernoulli,LeastSqs-Prop,-0.2018925467187741
134,0.03,2,96,1,96-0,26,Bernoulli,LeastSqs-Num,0.07715033006164133
135,0.03,2,96,1,96-0,27,Bernoulli,Graph-Aware,-0.16725529827031632
136,0.03,2,96,1,96-0,27,Bernoulli,Diff-Means-Stnd,-0.6849052203120197
137,0.03,2,96,1,96-0,27,Bernoulli,Diff-Means-Frac-0.75,-1.051760045108793
138,0.03,2,96,1,96-0,27,Bernoulli,LeastSqs-Prop,-0.1930357891819288
139,0.03,2,96,1,96-0,27,Bernoulli,LeastSqs-Num,0.06329878055462236
140,0.03,2,96,1,96-0,28,Bernoulli,Graph-Aware,-0.09401079395034734
141,0.03,2,96,1,96-0,28,Bernoulli,Diff-Means-Stnd,-0.6616299079220747
142,0.03,2,96,1,96-0,28,Bernoulli,Diff-Means-Frac-0.75,-1.052871294063085
143,0.03,2,96,1,96-0,28,Bernoulli,LeastSqs-Prop,-0.1639021609481551
144,0.03,2,96,1,96-0,28,Bernoulli,LeastSqs-Num,0.10249338631502058
145,0.03,2,96,1,96-0,29,Bernoulli,Graph-Aware,0.1387853431079124
