,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
60,0.2,2,256,2,16-0,12,Bernoulli,Graph-Aware,4.078247449744684
61,0.2,2,256,2,16-0,12,Bernoulli,Diff-Means-Stnd,-0.7173036889052155
62,0.2,2,256,2,16-0,12,Bernoulli,Diff-Means-Frac-0.75,-1.1167163048994324
63,0.2,2,256,2,16-0,12,Bernoulli,LeastSqs-Prop,-0.9268152377897778
64,0.2,2,256,2,16-0,12,Bernoulli,LeastSqs-Num,1.0653666741115984
65,0.2,2,256,2,16-0,13,Bernoulli,Graph-Aware,0.8468747771301676
66,0.2,2,256,2,16-0,13,Bernoulli,Diff-Means-Stnd,-0.7063384193134519
67,0.2,2,256,2,16-0,13,Bernoulli,Diff-Means-Frac-0.75,-1.1473974942393772
68,0.2,2,256,2,16-0,13,Bernoulli,LeastSqs-Prop,-0.794035803990539
69,0.2,2,256,2,16-0,13,Bernoulli,LeastSqs-Num,1.952673686440112
70,0.2,2,256,2,16-0,14,Bernoulli,Graph-Aware,-2.6257312550129286
71,0.2,2,256,2,16-0,14,Bernoulli,Diff-Means-Stnd,-0.6442900173040303
72,0.2,2,256,2,16-0,14,Bernoulli,Diff-Means-Frac-0.75,-1.1139080927703824
73,0.2,2,256,2,16-0,14,Bernoulli,LeastSqs-Prop,-1.5026014295309622
74,0.2,2,256,2,16-0,14,Bernoulli,LeastSqs-Num,2.1423108706444554
75,0.2,2,256,2,16-0,15,Bernoulli,Graph-Aware,-2.1210374449680787
76,0.2,2,256,2,16-0,15,Bernoulli,Diff-Means-Stnd,-0.7180479432540537
77,0.2,2,256,2,16-0,15,Bernoulli,Diff-Means-Frac-0.75,-1.1245425926034134
78,0.2,2,256,2,16-0,15,Bernoulli,LeastSqs-Prop,-1.2348992867734774
79,0.2,2,256,2,16-0,15,Bernoulli,LeastSqs-Num,1.8277498219825574
80,0.2,2,256,2,16-0,16,Bernoulli,Graph-Aware,-1.899061405837031
81,0.2,2,256,2,16-0,16,Bernoulli,Diff-Means-Stnd,-0.7597002923348204
82,0.2,2,256,2,16-0,16,Bernoulli,Diff-Means-Frac-0.75,-1.1268257418808
83,0.2,2,256,2,16-0,16,Bernoulli,LeastSqs-Prop,-0.9058285046268629
84,0.2,2,256,2,16-0,16,Bernoulli,LeastSqs-Num,1.4143174593766519
85,0.2,2,256,2,16-0,17,Bernoulli,Graph-Aware,-2.6522654879596907
86,0.2,2,256,2,16-0,17,Bernoulli,Diff-Means-Stnd,-0.6820728303400798
87,0.2,2,256,2,16-0,17,Bernoulli,Diff-Means-Frac-0.75,-1.1154835907607403
88,0.2,2,256,2,16-0,17,Bernoulli,LeastSqs-Prop,-1.6212703445638872
89,0.2,2,256,2,16-0,17,Bernoulli,LeastSqs-Num,1.4735532280094241
90,0.2,2,256,2,16-0,18,Bernoulli,Graph-Aware,5.212714722184127
91,0.2,2,256,2,16-0,18,Bernoulli,Diff-Means-Stnd,-0.623383191628392
92,0.2,2,256,2,16-0,18,Bernoulli,Diff-Means-Frac-0.75,-1.1184608970839245
93,0.2,2,256,2,16-0,18,Bernoulli,LeastSqs-Prop,-0.862620846493127
94,0.2,2,256,2,16-0,18,Bernoulli,LeastSqs-Num,1.1371420084388275
95,0.2,2,256,2,16-0,19,Bernoulli,Graph-Aware,-3.327410288130479
96,0.2,2,256,2,16-0,19,Bernoulli,Diff-Means-Stnd,-0.7887444963749551
97,0.2,2,256,2,16-0,19,Bernoulli,Diff-Means-Frac-0.75,-1.1618814985820032
98,0.2,2,256,2,16-0,19,Bernoulli,LeastSqs-Prop,-1.7957603500293946
99,0.2,2,256,2,16-0,19,Bernoulli,LeastSqs-Num,2.1873864292931846
100,0.2,2,256,2,16-0,20,Bernoulli,Graph-Aware,-3.462588633404193
101,0.2,2,256,2,16-0,20,Bernoulli,Diff-Means-Stnd,-0.6862898672811959
102,0.2,2,256,2,16-0,20,Bernoulli,Diff-Means-Frac-0.75,-1.1153182604126368
103,0.2,2,256,2,16-0,20,Bernoulli,LeastSqs-Prop,-1.1621838392672852
104,0.2,2,256,2,16-0,20,Bernoulli,LeastSqs-Num,2.488619221725354
105,0.2,2,256,2,16-0,21,Bernoulli,Graph-Aware,4.0753843037072555
106,0.2,2,256,2,16-0,21,Bernoulli,Diff-Means-Stnd,-0.7291355032785171
107,0.2,2,256,2,16-0,21,Bernoulli,Diff-Means-Frac-0.75,-1.1336719431874664
108,0.2,2,256,2,16-0,21,Bernoulli,LeastSqs-Prop,-1.0143761750742126
109,0.2,2,256,2,16-0,21,Bernoulli,LeastSqs-Num,1.123827547030999
110,0.2,2,256,2,16-0,22,Bernoulli,Graph-Aware,1.0802536336355217
111,0.2,2,256,2,16-0,22,Bernoulli,Diff-Means-Stnd,-0.7098467798529933
112,0.2,2,256,2,16-0,22,Bernoulli,Diff-Means-Frac-0.75,-1.146742482200563
113,0.2,2,256,2,16-0,22,Bernoulli,LeastSqs-Prop,-0.8855955428042475
114,0.2,2,256,2,16-0,22,Bernoulli,LeastSqs-Num,1.520140958340153
115,0.2,2,256,2,16-0,23,Bernoulli,Graph-Aware,-1.7771617821262267
116,0.2,2,256,2,16-0,23,Bernoulli,Diff-Means-Stnd,-0.6545739542951857
117,0.2,2,256,2,16-0,23,Bernoulli,Diff-Means-Frac-0.75,-1.1002232073031113
118,0.2,2,256,2,16-0,23,Bernoulli,LeastSqs-Prop,-0.7883065460571468
119,0.2,2,256,2,16-0,23,Bernoulli,LeastSqs-Num,0.8708224125085892
120,0.2,2,256,2,16-0,24,Bernoulli,Graph-Aware,0.6537103401479639
121,0.2,2,256,2,16-0,24,Bernoulli,Diff-Means-Stnd,-0.7443062236387602
122,0.2,2,256,2,16-0,24,Bernoulli,Diff-Means-Frac-0.75,-1.1231422682704784
123,0.2,2,256,2,16-0,24,Bernoulli,LeastSqs-Prop,-1.4750508950222885
124,0.2,2,256,2,16-0,24,Bernoulli,LeastSqs-Num,1.391337235998525
125,0.2,2,256,2,16-0,25,Bernoulli,Graph-Aware,-2.8982901031998725
126,0.2,2,256,2,16-0,25,Bernoulli,Diff-Means-Stnd,-0.7202113455823246
127,0.2,2,256,2,16-0,25,Bernoulli,Diff-Means-Frac-0.75,-1.1175583241490565
128,0.2,2,256,2,16-0,25,Bernoulli,LeastSqs-Prop,-1.0064976058567114
129,0.2,2,256,2,16-0,25,Bernoulli,LeastSqs-Num,1.6479986311217625
130,0.2,2,256,2,16-0,26,Bernoulli,Graph-Aware,-3.1535570755357276
131,0.2,2,256,2,16-0,26,Bernoulli,Diff-Means-Stnd,-0.7088974355844886
132,0.2,2,256,2,16-0,26,Bernoulli,Diff-Means-Frac-0.75,-1.1285531390563033
133,0.2,2,256,2,16-0,26,Bernoulli,LeastSqs-Prop,-1.0188314207159452
134,0.2,2,256,2,16-0,26,Bernoulli,LeastSqs-Num,1.3967981595792611
135,0.2,2,256,2,16-0,27,Bernoulli,Graph-Aware,-3.088586890931697
136,0.2,2,256,2,16-0,27,Bernoulli,Diff-Means-Stnd,-0.7025517889834028
137,0.2,2,256,2,16-0,27,Bernoulli,Diff-Means-Frac-0.75,-1.1273364816540665
138,0.2,2,256,2,16-0,27,Bernoulli,LeastSqs-Prop,-1.5399752020501438
139,0.2,2,256,2,16-0,27,Bernoulli,LeastSqs-Num,0.8610579709867231
140,0.2,2,256,2,16-0,28,Bernoulli,Graph-Aware,0.679670798885439
141,0.2,2,256,2,16-0,28,Bernoulli,Diff-Means-Stnd,-0.696154347080827
142,0.2,2,256,2,16-0,28,Bernoulli,Diff-Means-Frac-0.75,-1.1221566502805715
143,0.2,2,256,2,16-0,28,Bernoulli,LeastSqs-Prop,-0.4003383972920943
144,0.2,2,256,2,16-0,28,Bernoulli,LeastSqs-Num,0.9716180140039651
145,0.2,2,256,2,16-0,29,Bernoulli,Graph-Aware,-0.02491976632732852
146,0.2,2,256,2,16-0,29,Bernoulli,Diff-Means-Stnd,-0.6712143056878204
147,0.2,2,256,2,16-0,29,Bernoulli,Diff-Means-Frac-0.75,-1.117313718343121
148,0.2,2,256,2,16-0,29,Bernoulli,LeastSqs-Prop,-1.19719250137836
149,0.2,2,256,2,16-0,29,Bernoulli,LeastSqs-Num,1.0555577088662258
150,0.2,2,256,2,16-0,30,Bernoulli,Graph-Aware,-0.6083295064357276
151,0.2,2,256,2,16-0,30,Bernoulli,Diff-Means-Stnd,-0.6676989777051759
152,0.2,2,256,2,16-0,30,Bernoulli,Diff-Means-Frac-0.75,-1.156249552267224
153,0.2,2,256,2,16-0,30,Bernoulli,LeastSqs-Prop,-0.9885291357845682
154,0.2,2,256,2,16-0,30,Bernoulli,LeastSqs-Num,1.9213105191419515
155,0.2,2,256,2,16-0,31,Bernoulli,Graph-Aware,4.768115223760123
