,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.2,0.01,9216,2,96-0,0,Bernoulli,Graph-Aware,-0.21304559334357517
1,0.2,0.01,9216,2,96-0,0,Bernoulli,Diff-Means-Stnd,-0.0069220529175834464
2,0.2,0.01,9216,2,96-0,0,Bernoulli,Diff-Means-Frac-0.75,-0.055517134890697935
3,0.2,0.01,9216,2,96-0,0,Bernoulli,LeastSqs-Prop,-0.08571993123509444
4,0.2,0.01,9216,2,96-0,0,Bernoulli,LeastSqs-Num,-0.0590408786537344
5,0.2,0.01,9216,2,96-0,1,Bernoulli,Graph-Aware,-0.24431137779737555
6,0.2,0.01,9216,2,96-0,1,Bernoulli,Diff-Means-Stnd,-0.014904752951925601
7,0.2,0.01,9216,2,96-0,1,Bernoulli,Diff-Means-Frac-0.75,-0.5219612686562385
8,0.2,0.01,9216,2,96-0,1,Bernoulli,LeastSqs-Prop,-0.04949311320536308
9,0.2,0.01,9216,2,96-0,1,Bernoulli,LeastSqs-Num,0.03234600812506563
10,0.2,0.01,9216,2,96-0,2,Bernoulli,Graph-Aware,-0.3310119574224975
11,0.2,0.01,9216,2,96-0,2,Bernoulli,Diff-Means-Stnd,-0.026354878767523373
12,0.2,0.01,9216,2,96-0,2,Bernoulli,Diff-Means-Frac-0.75,-0.2240891008051442
13,0.2,0.01,9216,2,96-0,2,Bernoulli,LeastSqs-Prop,0.09618333059014066
14,0.2,0.01,9216,2,96-0,2,Bernoulli,LeastSqs-Num,0.004374461690624934
15,0.2,0.01,9216,2,96-0,3,Bernoulli,Graph-Aware,-0.23343913284844098
16,0.2,0.01,9216,2,96-0,3,Bernoulli,Diff-Means-Stnd,-0.022042394928404624
17,0.2,0.01,9216,2,96-0,3,Bernoulli,Diff-Means-Frac-0.75,0.24499773928855936
18,0.2,0.01,9216,2,96-0,3,Bernoulli,LeastSqs-Prop,0.12727211375704764
19,0.2,0.01,9216,2,96-0,3,Bernoulli,LeastSqs-Num,0.014587063319866287
20,0.2,0.01,9216,2,96-0,4,Bernoulli,Graph-Aware,0.18734908088917893
21,0.2,0.01,9216,2,96-0,4,Bernoulli,Diff-Means-Stnd,-0.009866067539566837
22,0.2,0.01,9216,2,96-0,4,Bernoulli,Diff-Means-Frac-0.75,-0.43226937392723197
