,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.2,2,256,1,16-0,0,Bernoulli,Graph-Aware,2.3510962962372224
1,0.2,2,256,1,16-0,0,Bernoulli,LeastSqs-Prop,-0.13383444709809716
2,0.2,2,256,1,16-0,0,Bernoulli,LeastSqs-Num,0.3537479867854453
3,0.2,2,256,1,16-0,0,Bernoulli,Diff-Means-Stnd,-0.6783900298078156
4,0.2,2,256,1,16-0,0,Bernoulli,Diff-Means-Frac-0.75,-1.1313196959292748
5,0.2,2,256,1,16-0,1,Bernoulli,Graph-Aware,-0.2901049751591349
6,0.2,2,256,1,16-0,1,Bernoulli,LeastSqs-Prop,-0.24051991157956892
7,0.2,2,256,1,16-0,1,Bernoulli,LeastSqs-Num,0.313171269766472
8,0.2,2,256,1,16-0,1,Bernoulli,Diff-Means-Stnd,-0.7566077728275251
9,0.2,2,256,1,16-0,1,Bernoulli,Diff-Means-Frac-0.75,-1.1424671632879482
10,0.2,2,256,1,16-0,2,Bernoulli,Graph-Aware,0.30785669988874115
11,0.2,2,256,1,16-0,2,Bernoulli,LeastSqs-Prop,-0.2632097244685451
12,0.2,2,256,1,16-0,2,Bernoulli,LeastSqs-Num,0.4080807192626714
13,0.2,2,256,1,16-0,2,Bernoulli,Diff-Means-Stnd,-0.7520254360696194
14,0.2,2,256,1,16-0,2,Bernoulli,Diff-Means-Frac-0.75,-1.1518698085778276
15,0.2,2,256,1,16-0,3,Bernoulli,Graph-Aware,-0.06522248788680615
16,0.2,2,256,1,16-0,3,Bernoulli,LeastSqs-Prop,-0.20125180042250826
17,0.2,2,256,1,16-0,3,Bernoulli,LeastSqs-Num,0.32782234529164245
18,0.2,2,256,1,16-0,3,Bernoulli,Diff-Means-Stnd,-0.6239343654106166
19,0.2,2,256,1,16-0,3,Bernoulli,Diff-Means-Frac-0.75,-1.116200086541505
20,0.2,2,256,1,16-0,4,Bernoulli,Graph-Aware,-0.1967157824044924
21,0.2,2,256,1,16-0,4,Bernoulli,LeastSqs-Prop,-0.19748215728812302
22,0.2,2,256,1,16-0,4,Bernoulli,LeastSqs-Num,0.3458030702794189
23,0.2,2,256,1,16-0,4,Bernoulli,Diff-Means-Stnd,-0.721784735272664
24,0.2,2,256,1,16-0,4,Bernoulli,Diff-Means-Frac-0.75,-1.1413192892356159
25,0.2,2,256,1,16-0,5,Bernoulli,Graph-Aware,1.1211658521606436
26,0.2,2,256,1,16-0,5,Bernoulli,LeastSqs-Prop,-0.3559899332385212
27,0.2,2,256,1,16-0,5,Bernoulli,LeastSqs-Num,0.3282675925065454
28,0.2,2,256,1,16-0,5,Bernoulli,Diff-Means-Stnd,-0.6421447732695476
29,0.2,2,256,1,16-0,5,Bernoulli,Diff-Means-Frac-0.75,-1.1408264993514399
30,0.2,2,256,1,16-0,6,Bernoulli,Graph-Aware,0.7043790477878568
31,0.2,2,256,1,16-0,6,Bernoulli,LeastSqs-Prop,-0.1319040176080076
32,0.2,2,256,1,16-0,6,Bernoulli,LeastSqs-Num,0.44959604660689034
33,0.2,2,256,1,16-0,6,Bernoulli,Diff-Means-Stnd,-0.688113607438449
34,0.2,2,256,1,16-0,6,Bernoulli,Diff-Means-Frac-0.75,-1.147619963647088
35,0.2,2,256,1,16-0,7,Bernoulli,Graph-Aware,-0.15048018659647466
36,0.2,2,256,1,16-0,7,Bernoulli,LeastSqs-Prop,-0.25083321565767874
37,0.2,2,256,1,16-0,7,Bernoulli,LeastSqs-Num,0.4476770349620761
38,0.2,2,256,1,16-0,7,Bernoulli,Diff-Means-Stnd,-0.7107035375419122
39,0.2,2,256,1,16-0,7,Bernoulli,Diff-Means-Frac-0.75,-1.1862484129679611
40,0.2,2,256,1,16-0,8,Bernoulli,Graph-Aware,0.5903387172993824
41,0.2,2,256,1,16-0,8,Bernoulli,LeastSqs-Prop,-0.03565401983109291
42,0.2,2,256,1,16-0,8,Bernoulli,LeastSqs-Num,0.5088743821912585
43,0.2,2,256,1,16-0,8,Bernoulli,Diff-Means-Stnd,-0.7338117150637515
44,0.2,2,256,1,16-0,8,Bernoulli,Diff-Means-Frac-0.75,-1.1764915340704971
45,0.2,2,256,1,16-0,9,Bernoulli,Graph-Aware,-0.7978307130853344
46,0.2,2,256,1,16-0,9,Bernoulli,LeastSqs-Prop,-0.2824099848623198
47,0.2,2,256,1,16-0,9,Bernoulli,LeastSqs-Num,0.11888323814575322
48,0.2,2,256,1,16-0,9,Bernoulli,Diff-Means-Stnd,-0.7194022520347081
49,0.2,2,256,1,16-0,9,Bernoulli,Diff-Means-Frac-0.75,-1.1210047981233724
50,0.2,2,256,1,16-0,10,Bernoulli,Graph-Aware,-1.074895409417351
51,0.2,2,256,1,16-0,10,Bernoulli,LeastSqs-Prop,-0.207462268988731
52,0.2,2,256,1,16-0,10,Bernoulli,LeastSqs-Num,0.33744986250965564
53,0.2,2,256,1,16-0,10,Bernoulli,Diff-Means-Stnd,-0.6748703506483688
54,0.2,2,256,1,16-0,10,Bernoulli,Diff-Means-Frac-0.75,-1.117511252791353
55,0.2,2,256,1,16-0,11,Bernoulli,Graph-Aware,1.1494658033666558
56,0.2,2,256,1,16-0,11,Bernoulli,LeastSqs-Prop,-0.2148970198129316
57,0.2,2,256,1,16-0,11,Bernoulli,LeastSqs-Num,0.23444062732413468
58,0.2,2,256,1,16-0,11,Bernoulli,Diff-Means-Stnd,-0.6078395682465687
59,0.2,2,256,1,16-0,11,Bernoulli,Diff-Means-Frac-0.75,-1.1146473092881997
60,0.2,2,256,1,16-0,12,Bernoulli,Graph-Aware,0.7323539631929054
61,0.2,2,256,1,16-0,12,Bernoulli,LeastSqs-Prop,-0.3154287824363853
62,0.2,2,256,1,16-0,12,Bernoulli,LeastSqs-Num,0.6991132433257076
63,0.2,2,256,1,16-0,12,Bernoulli,Diff-Means-Stnd,-0.7914994474638104
64,0.2,2,256,1,16-0,12,Bernoulli,Diff-Means-Frac-0.75,-1.1863037543811799
65,0.2,2,256,1,16-0,13,Bernoulli,Graph-Aware,-1.3294056087808983
66,0.2,2,256,1,16-0,13,Bernoulli,LeastSqs-Prop,-0.26763731610103997
67,0.2,2,256,1,16-0,13,Bernoulli,LeastSqs-Num,0.34262599118927384
68,0.2,2,256,1,16-0,13,Bernoulli,Diff-Means-Stnd,-0.6756630981191267
69,0.2,2,256,1,16-0,13,Bernoulli,Diff-Means-Frac-0.75,-1.1398115896247754
70,0.2,2,256,1,16-0,14,Bernoulli,Graph-Aware,-0.5445346979375771
71,0.2,2,256,1,16-0,14,Bernoulli,LeastSqs-Prop,-0.34464971464665045
72,0.2,2,256,1,16-0,14,Bernoulli,LeastSqs-Num,0.3903734199013294
73,0.2,2,256,1,16-0,14,Bernoulli,Diff-Means-Stnd,-0.6563362598626712
74,0.2,2,256,1,16-0,14,Bernoulli,Diff-Means-Frac-0.75,-1.1584954823598779
