,Estimator,graph,rep,n,p,ratio,Bias
86,diff_means,sw,17,256,0.5,2,-0.8728115725683233
87,SumIPS-Linear,sw,17,256,0.5,2,-0.6384560644937892
88,OLS,sw,17,256,0.5,2,-0.16650914518560778
89,Graph-Agnostic,sw,17,256,0.5,2,0.005557026061875695
90,diff_means_frac,sw,18,256,0.5,2,-0.8954379854968445
91,diff_means,sw,18,256,0.5,2,-0.8730277370833393
92,SumIPS-Linear,sw,18,256,0.5,2,-0.9614946990744684
93,OLS,sw,18,256,0.5,2,-0.5423555178220898
94,Graph-Agnostic,sw,18,256,0.5,2,-0.08162023476697347
95,diff_means_frac,sw,19,256,0.5,2,-0.708122743497348
96,diff_means,sw,19,256,0.5,2,-0.7366832419827958
97,SumIPS-Linear,sw,19,256,0.5,2,0.057816090891218815
98,OLS,sw,19,256,0.5,2,-0.22876042360843915
99,Graph-Agnostic,sw,19,256,0.5,2,0.017056954395906376
100,diff_means_frac,sw,20,256,0.5,2,-0.7035176574546558
101,diff_means,sw,20,256,0.5,2,-0.9424909014999343
102,SumIPS-Linear,sw,20,256,0.5,2,-1.2159541247907997
103,OLS,sw,20,256,0.5,2,-0.14630535207455772
104,Graph-Agnostic,sw,20,256,0.5,2,-0.012638368720204301
105,diff_means_frac,sw,21,256,0.5,2,-0.6652963314244287
106,diff_means,sw,21,256,0.5,2,-0.8046923291988096
107,SumIPS-Linear,sw,21,256,0.5,2,2.225257135137207
108,OLS,sw,21,256,0.5,2,-0.33463661711847914
109,Graph-Agnostic,sw,21,256,0.5,2,0.12987710575553638
110,diff_means_frac,sw,22,256,0.5,2,-0.6400761299984461
111,diff_means,sw,22,256,0.5,2,-0.8064513514196283
112,SumIPS-Linear,sw,22,256,0.5,2,4.219714337836369
113,OLS,sw,22,256,0.5,2,-0.27585763317335715
114,Graph-Agnostic,sw,22,256,0.5,2,0.19590599900765782
115,diff_means_frac,sw,23,256,0.5,2,-0.8411914694324283
116,diff_means,sw,23,256,0.5,2,-0.9305020121967861
117,SumIPS-Linear,sw,23,256,0.5,2,-2.1023959908630547
118,OLS,sw,23,256,0.5,2,-0.206193971311987
119,Graph-Agnostic,sw,23,256,0.5,2,-0.1354328509399412
120,diff_means_frac,sw,24,256,0.5,2,-0.7339747774724941
121,diff_means,sw,24,256,0.5,2,-0.7608856319659736
122,SumIPS-Linear,sw,24,256,0.5,2,1.0601968664586832
123,OLS,sw,24,256,0.5,2,-0.2677798254502446
124,Graph-Agnostic,sw,24,256,0.5,2,0.06886937383717208
125,diff_means_frac,sw,25,256,0.5,2,-0.8602609556734312
126,diff_means,sw,25,256,0.5,2,-0.9206277311722935
127,SumIPS-Linear,sw,25,256,0.5,2,-1.4499649932513983
128,OLS,sw,25,256,0.5,2,-0.04553951483877463
129,Graph-Agnostic,sw,25,256,0.5,2,-0.09814806183230214
130,diff_means_frac,sw,26,256,0.5,2,-0.693316074089102
131,diff_means,sw,26,256,0.5,2,-0.9537587598334963
132,SumIPS-Linear,sw,26,256,0.5,2,-0.6458612906561826
133,OLS,sw,26,256,0.5,2,-0.42390526838208786
134,Graph-Agnostic,sw,26,256,0.5,2,0.02440704090694112
135,diff_means_frac,sw,27,256,0.5,2,-0.9311559787749996
136,diff_means,sw,27,256,0.5,2,-0.9392698377571596
137,SumIPS-Linear,sw,27,256,0.5,2,0.2263407308254647
138,OLS,sw,27,256,0.5,2,-0.29460162623129404
139,Graph-Agnostic,sw,27,256,0.5,2,-0.0063459634724598495
140,diff_means_frac,sw,28,256,0.5,2,-0.5877417514420537
141,diff_means,sw,28,256,0.5,2,-1.0267396278003158
142,SumIPS-Linear,sw,28,256,0.5,2,0.5625449418578304
143,OLS,sw,28,256,0.5,2,-0.12182092274270254
144,Graph-Agnostic,sw,28,256,0.5,2,0.08814494818830305
145,diff_means_frac,sw,29,256,0.5,2,-0.648643005720392
146,diff_means,sw,29,256,0.5,2,-0.9393783079226279
147,SumIPS-Linear,sw,29,256,0.5,2,-0.8529087483427548
148,OLS,sw,29,256,0.5,2,-0.14411957851714702
149,Graph-Agnostic,sw,29,256,0.5,2,-0.08391206691734236
150,diff_means_frac,sw,30,256,0.5,2,-0.6932075007856339
151,diff_means,sw,30,256,0.5,2,-0.8401402624065872
152,SumIPS-Linear,sw,30,256,0.5,2,-0.08760191556976453
153,OLS,sw,30,256,0.5,2,-0.4061187567511279
154,Graph-Agnostic,sw,30,256,0.5,2,-0.039927965517361816
155,diff_means_frac,sw,31,256,0.5,2,-1.0115820280132952
156,diff_means,sw,31,256,0.5,2,-0.9681997272430002
157,SumIPS-Linear,sw,31,256,0.5,2,-1.6376143126013725
158,OLS,sw,31,256,0.5,2,-0.5834404699617445
159,Graph-Agnostic,sw,31,256,0.5,2,-0.09831237158295458
160,diff_means_frac,sw,32,256,0.5,2,-0.41781296537700696
161,diff_means,sw,32,256,0.5,2,-0.8079115245328649
162,SumIPS-Linear,sw,32,256,0.5,2,-1.20629046910428
163,OLS,sw,32,256,0.5,2,-0.23350498147874926
164,Graph-Agnostic,sw,32,256,0.5,2,-0.06753437969349704
165,diff_means_frac,sw,33,256,0.5,2,-0.581807990669031
166,diff_means,sw,33,256,0.5,2,-0.8382730088274514
167,SumIPS-Linear,sw,33,256,0.5,2,-1.7014251928317474
168,OLS,sw,33,256,0.5,2,-0.2581414935342997
169,Graph-Agnostic,sw,33,256,0.5,2,-0.05655799535556384
170,diff_means_frac,sw,34,256,0.5,2,-0.6605248578591564
171,diff_means,sw,34,256,0.5,2,-0.8304049717306281
172,SumIPS-Linear,sw,34,256,0.5,2,-0.6661748707128288
173,OLS,sw,34,256,0.5,2,-0.4988157601021611
174,Graph-Agnostic,sw,34,256,0.5,2,0.01761039590893764
175,diff_means_frac,sw,35,256,0.5,2,-0.6363054860370383
176,diff_means,sw,35,256,0.5,2,-0.8477383198681395
177,SumIPS-Linear,sw,35,256,0.5,2,0.33062718757537024
