,Estimator,rep,n,p,ratio,Bias
75,Diff-Means-Stnd,10,500,0.05,1.3333333333333333,-0.5685688079434322
76,Diff-Means-Frac,10,500,0.05,1.3333333333333333,-0.706426791746398
77,Graph-Agnostic,11,500,0.05,1.3333333333333333,-0.03666321345827838
78,Graph-Aware,11,500,0.05,1.3333333333333333,0.013425405624651767
79,Graph-Agnostic-VR,11,500,0.05,1.3333333333333333,-0.036663213451270486
80,OLS-Prop,11,500,0.05,1.3333333333333333,-0.22901206529251622
81,OLS-Num,11,500,0.05,1.3333333333333333,-0.022295331010679466
82,Diff-Means-Stnd,11,500,0.05,1.3333333333333333,-0.6217970964499459
83,Diff-Means-Frac,11,500,0.05,1.3333333333333333,-0.7210553685761185
84,Graph-Agnostic,12,500,0.05,1.3333333333333333,-0.30885021782362093
85,Graph-Aware,12,500,0.05,1.3333333333333333,-0.26126422966016594
86,Graph-Agnostic-VR,12,500,0.05,1.3333333333333333,0.01639673850206897
87,OLS-Prop,12,500,0.05,1.3333333333333333,-0.22413066141535057
88,OLS-Num,12,500,0.05,1.3333333333333333,0.0053985742532927095
89,Diff-Means-Stnd,12,500,0.05,1.3333333333333333,-0.6083449368988143
90,Diff-Means-Frac,12,500,0.05,1.3333333333333333,-0.6929797412299081
91,Graph-Agnostic,13,500,0.05,1.3333333333333333,0.08844977527085297
92,Graph-Aware,13,500,0.05,1.3333333333333333,0.048457075941033115
93,Graph-Agnostic-VR,13,500,0.05,1.3333333333333333,0.0465863223834336
94,OLS-Prop,13,500,0.05,1.3333333333333333,-0.23620287268542275
95,OLS-Num,13,500,0.05,1.3333333333333333,0.13866975306004176
96,Diff-Means-Stnd,13,500,0.05,1.3333333333333333,-0.6033142340365589
97,Diff-Means-Frac,13,500,0.05,1.3333333333333333,-0.6974404098445638
98,Graph-Agnostic,14,500,0.05,1.3333333333333333,-0.15114643399938898
99,Graph-Aware,14,500,0.05,1.3333333333333333,-0.09459024847636578
100,Graph-Agnostic-VR,14,500,0.05,1.3333333333333333,-0.11577753540959777
101,OLS-Prop,14,500,0.05,1.3333333333333333,-0.380624613749592
102,OLS-Num,14,500,0.05,1.3333333333333333,-0.09782414597220049
103,Diff-Means-Stnd,14,500,0.05,1.3333333333333333,-0.6192132792632874
104,Diff-Means-Frac,14,500,0.05,1.3333333333333333,-0.7439628926810371
105,Graph-Agnostic,15,500,0.05,1.3333333333333333,-0.05161535233456394
106,Graph-Aware,15,500,0.05,1.3333333333333333,-0.02205388994750255
107,Graph-Agnostic-VR,15,500,0.05,1.3333333333333333,-0.012099325341317493
108,OLS-Prop,15,500,0.05,1.3333333333333333,-0.23592098434754025
109,OLS-Num,15,500,0.05,1.3333333333333333,-0.002226667413404164
110,Diff-Means-Stnd,15,500,0.05,1.3333333333333333,-0.5296242694792437
111,Diff-Means-Frac,15,500,0.05,1.3333333333333333,-0.7027131451667131
112,Graph-Agnostic,16,500,0.05,1.3333333333333333,0.3698420003984826
113,Graph-Aware,16,500,0.05,1.3333333333333333,0.4505098392982098
114,Graph-Agnostic-VR,16,500,0.05,1.3333333333333333,0.03775909121852087
115,OLS-Prop,16,500,0.05,1.3333333333333333,-0.26947444791618846
116,OLS-Num,16,500,0.05,1.3333333333333333,0.025756591339874922
117,Diff-Means-Stnd,16,500,0.05,1.3333333333333333,-0.6346486222618937
118,Diff-Means-Frac,16,500,0.05,1.3333333333333333,-0.7449408463359589
119,Graph-Agnostic,17,500,0.05,1.3333333333333333,-0.09332788088682907
120,Graph-Aware,17,500,0.05,1.3333333333333333,-0.09430744285646989
121,Graph-Agnostic-VR,17,500,0.05,1.3333333333333333,0.030309226272462065
122,OLS-Prop,17,500,0.05,1.3333333333333333,-0.2428157228226474
123,OLS-Num,17,500,0.05,1.3333333333333333,0.06429340396565045
124,Diff-Means-Stnd,17,500,0.05,1.3333333333333333,-0.5682625676535598
125,Diff-Means-Frac,17,500,0.05,1.3333333333333333,-0.6946889382765707
126,Graph-Agnostic,18,500,0.05,1.3333333333333333,-0.08317261983103966
127,Graph-Aware,18,500,0.05,1.3333333333333333,-0.05096571150391163
128,Graph-Agnostic-VR,18,500,0.05,1.3333333333333333,-0.0034484998090980514
129,OLS-Prop,18,500,0.05,1.3333333333333333,-0.15240975639109644
130,OLS-Num,18,500,0.05,1.3333333333333333,0.07856152483797293
131,Diff-Means-Stnd,18,500,0.05,1.3333333333333333,-0.5061738971087685
132,Diff-Means-Frac,18,500,0.05,1.3333333333333333,-0.7107921144147391
133,Graph-Agnostic,19,500,0.05,1.3333333333333333,-0.30937182772259947
134,Graph-Aware,19,500,0.05,1.3333333333333333,-0.2958743101793981
135,Graph-Agnostic-VR,19,500,0.05,1.3333333333333333,-0.09127872068102032
136,OLS-Prop,19,500,0.05,1.3333333333333333,-0.33696890129037427
137,OLS-Num,19,500,0.05,1.3333333333333333,-0.0016548769740326276
138,Diff-Means-Stnd,19,500,0.05,1.3333333333333333,-0.6366476931557105
139,Diff-Means-Frac,19,500,0.05,1.3333333333333333,-0.732148628135171
140,Graph-Agnostic,20,500,0.05,1.3333333333333333,-0.15915079233000504
141,Graph-Aware,20,500,0.05,1.3333333333333333,-0.09616203043055624
142,Graph-Agnostic-VR,20,500,0.05,1.3333333333333333,-0.04448953673169111
143,OLS-Prop,20,500,0.05,1.3333333333333333,-0.3216205974446831
144,OLS-Num,20,500,0.05,1.3333333333333333,-0.017244144583202847
145,Diff-Means-Stnd,20,500,0.05,1.3333333333333333,-0.5949845937720669
146,Diff-Means-Frac,20,500,0.05,1.3333333333333333,-0.7447993986767819
147,Graph-Agnostic,21,500,0.05,1.3333333333333333,-0.10346123758226433
148,Graph-Aware,21,500,0.05,1.3333333333333333,-0.10532418166771079
149,Graph-Agnostic-VR,21,500,0.05,1.3333333333333333,-0.06610545580806494
150,OLS-Prop,21,500,0.05,1.3333333333333333,-0.2507668856021862
151,OLS-Num,21,500,0.05,1.3333333333333333,-0.025651938044907584
152,Diff-Means-Stnd,21,500,0.05,1.3333333333333333,-0.5511735984962194
153,Diff-Means-Frac,21,500,0.05,1.3333333333333333,-0.6957633373334928
154,Graph-Agnostic,22,500,0.05,1.3333333333333333,-0.1112152072761711
155,Graph-Aware,22,500,0.05,1.3333333333333333,-0.10409471239500181
156,Graph-Agnostic-VR,22,500,0.05,1.3333333333333333,-0.033929573119245014
157,OLS-Prop,22,500,0.05,1.3333333333333333,-0.18106072210285168
158,OLS-Num,22,500,0.05,1.3333333333333333,-0.011810161133841732
159,Diff-Means-Stnd,22,500,0.05,1.3333333333333333,-0.5669500730747634
160,Diff-Means-Frac,22,500,0.05,1.3333333333333333,-0.6854535980019949
161,Graph-Agnostic,23,500,0.05,1.3333333333333333,0.11024711300641143
162,Graph-Aware,23,500,0.05,1.3333333333333333,0.14598146192790679
163,Graph-Agnostic-VR,23,500,0.05,1.3333333333333333,-0.04289041981509663
164,OLS-Prop,23,500,0.05,1.3333333333333333,-0.2569867821183988
165,OLS-Num,23,500,0.05,1.3333333333333333,0.040541578362646186
166,Diff-Means-Stnd,23,500,0.05,1.3333333333333333,-0.586829058629583
167,Diff-Means-Frac,23,500,0.05,1.3333333333333333,-0.7515389986455486
168,Graph-Agnostic,24,500,0.05,1.3333333333333333,-0.09552506387026692
169,Graph-Aware,24,500,0.05,1.3333333333333333,-0.03961768899452987
170,Graph-Agnostic-VR,24,500,0.05,1.3333333333333333,0.07675587635275334
171,OLS-Prop,24,500,0.05,1.3333333333333333,-0.26833192349478074
172,OLS-Num,24,500,0.05,1.3333333333333333,0.02710600143330118
173,Diff-Means-Stnd,24,500,0.05,1.3333333333333333,-0.578360893268357
174,Diff-Means-Frac,24,500,0.05,1.3333333333333333,-0.6849898569179542
175,Graph-Agnostic,25,500,0.05,1.3333333333333333,0.22327216855359527
176,Graph-Aware,25,500,0.05,1.3333333333333333,0.21859674293548942
177,Graph-Agnostic-VR,25,500,0.05,1.3333333333333333,0.13265941533564254
178,OLS-Prop,25,500,0.05,1.3333333333333333,-0.13179743999896432
179,OLS-Num,25,500,0.05,1.3333333333333333,0.09349030801675852
180,Diff-Means-Stnd,25,500,0.05,1.3333333333333333,-0.535045261621857
181,Diff-Means-Frac,25,500,0.05,1.3333333333333333,-0.6588010468331438
182,Graph-Agnostic,26,500,0.05,1.3333333333333333,-0.23253771294637132
183,Graph-Aware,26,500,0.05,1.3333333333333333,-0.2710277943952195
184,Graph-Agnostic-VR,26,500,0.05,1.3333333333333333,-0.1278837647054412
185,OLS-Prop,26,500,0.05,1.3333333333333333,-0.3360397463823824
186,OLS-Num,26,500,0.05,1.3333333333333333,-0.055951102660057025
187,Diff-Means-Stnd,26,500,0.05,1.3333333333333333,-0.5722769362255211
188,Diff-Means-Frac,26,500,0.05,1.3333333333333333,-0.7412043500643121
189,Graph-Agnostic,27,500,0.05,1.3333333333333333,-0.11085759490668581
190,Graph-Aware,27,500,0.05,1.3333333333333333,-0.09750123768623102
191,Graph-Agnostic-VR,27,500,0.05,1.3333333333333333,0.05850286321402653
192,OLS-Prop,27,500,0.05,1.3333333333333333,-0.17462034522349557
193,OLS-Num,27,500,0.05,1.3333333333333333,0.09236180884877392
194,Diff-Means-Stnd,27,500,0.05,1.3333333333333333,-0.5222614663149253
195,Diff-Means-Frac,27,500,0.05,1.3333333333333333,-0.6835177446651809
196,Graph-Agnostic,28,500,0.05,1.3333333333333333,-0.0018853176668541796
197,Graph-Aware,28,500,0.05,1.3333333333333333,0.002806336738878088
198,Graph-Agnostic-VR,28,500,0.05,1.3333333333333333,0.08490726341348565
199,OLS-Prop,28,500,0.05,1.3333333333333333,-0.1548456647907909
200,OLS-Num,28,500,0.05,1.3333333333333333,0.1635348722141574
201,Diff-Means-Stnd,28,500,0.05,1.3333333333333333,-0.5246890731105313
202,Diff-Means-Frac,28,500,0.05,1.3333333333333333,-0.6867634100081714
203,Graph-Agnostic,29,500,0.05,1.3333333333333333,0.040709426261378016
204,Graph-Aware,29,500,0.05,1.3333333333333333,0.0729667363005228
205,Graph-Agnostic-VR,29,500,0.05,1.3333333333333333,0.04070942626894873
206,OLS-Prop,29,500,0.05,1.3333333333333333,-0.2698236144698402
207,OLS-Num,29,500,0.05,1.3333333333333333,0.11347069318707458
208,Diff-Means-Stnd,29,500,0.05,1.3333333333333333,-0.48963643884023217
209,Diff-Means-Frac,29,500,0.05,1.3333333333333333,-0.708407696162971
210,Graph-Agnostic,30,500,0.05,1.3333333333333333,-0.17399063415614724
211,Graph-Aware,30,500,0.05,1.3333333333333333,-0.13031444505957343
212,Graph-Agnostic-VR,30,500,0.05,1.3333333333333333,-0.17399063415013838
213,OLS-Prop,30,500,0.05,1.3333333333333333,-0.4411216223360532
214,OLS-Num,30,500,0.05,1.3333333333333333,-0.15446730393821187
215,Diff-Means-Stnd,30,500,0.05,1.3333333333333333,-0.739981042900222
216,Diff-Means-Frac,30,500,0.05,1.3333333333333333,-0.7917462889844564
217,Graph-Agnostic,31,500,0.05,1.3333333333333333,0.39563266304375966
218,Graph-Aware,31,500,0.05,1.3333333333333333,0.25050890797332787
219,Graph-Agnostic-VR,31,500,0.05,1.3333333333333333,-0.030810650657005376
220,OLS-Prop,31,500,0.05,1.3333333333333333,-0.31392363077852875
221,OLS-Num,31,500,0.05,1.3333333333333333,0.18196896218053454
222,Diff-Means-Stnd,31,500,0.05,1.3333333333333333,-0.6023137126684773
223,Diff-Means-Frac,31,500,0.05,1.3333333333333333,-0.7745176375918208
224,Graph-Agnostic,32,500,0.05,1.3333333333333333,-0.18969333865844884
