,Estimator,rep,n,p,ratio,Bias
670,Diff-Means-Stnd,45,1000,0.05,1.3333333333333333,-0.6153939174112938
671,Diff-Means-Frac,45,1000,0.05,1.3333333333333333,-0.7275690217192536
672,Graph-Agnostic,46,1000,0.05,1.3333333333333333,0.12709730522806034
673,Graph-Aware,46,1000,0.05,1.3333333333333333,0.06141652265060659
674,Graph-Agnostic-VR,46,1000,0.05,1.3333333333333333,-0.06075224564328308
675,OLS-Prop,46,1000,0.05,1.3333333333333333,-0.2993348672121849
676,OLS-Num,46,1000,0.05,1.3333333333333333,0.02486393468901039
677,Diff-Means-Stnd,46,1000,0.05,1.3333333333333333,-0.571269490384532
678,Diff-Means-Frac,46,1000,0.05,1.3333333333333333,-0.7184092553799102
679,Graph-Agnostic,47,1000,0.05,1.3333333333333333,0.1608205173403827
680,Graph-Aware,47,1000,0.05,1.3333333333333333,0.12302448426611175
681,Graph-Agnostic-VR,47,1000,0.05,1.3333333333333333,0.11617357436575254
682,OLS-Prop,47,1000,0.05,1.3333333333333333,-0.23600037224386605
683,OLS-Num,47,1000,0.05,1.3333333333333333,0.22277786772421987
684,Diff-Means-Stnd,47,1000,0.05,1.3333333333333333,-0.5742180850357235
685,Diff-Means-Frac,47,1000,0.05,1.3333333333333333,-0.6969113922728424
686,Graph-Agnostic,48,1000,0.05,1.3333333333333333,0.2339068377916201
687,Graph-Aware,48,1000,0.05,1.3333333333333333,0.22722404370173513
688,Graph-Agnostic-VR,48,1000,0.05,1.3333333333333333,-0.07917400164804479
689,OLS-Prop,48,1000,0.05,1.3333333333333333,-0.3445599896836701
690,OLS-Num,48,1000,0.05,1.3333333333333333,0.04149255802247791
691,Diff-Means-Stnd,48,1000,0.05,1.3333333333333333,-0.6241059990692989
692,Diff-Means-Frac,48,1000,0.05,1.3333333333333333,-0.7448555758138119
693,Graph-Agnostic,49,1000,0.05,1.3333333333333333,-0.057478508823072746
694,Graph-Aware,49,1000,0.05,1.3333333333333333,-0.010804728873865903
695,Graph-Agnostic-VR,49,1000,0.05,1.3333333333333333,-0.057478508823072746
696,OLS-Prop,49,1000,0.05,1.3333333333333333,-0.3173778066375059
697,OLS-Num,49,1000,0.05,1.3333333333333333,0.009473895504328011
698,Diff-Means-Stnd,49,1000,0.05,1.3333333333333333,-0.5900497545989076
699,Diff-Means-Frac,49,1000,0.05,1.3333333333333333,-0.7301054220635289
700,Graph-Agnostic,0,2000,0.05,1.3333333333333333,-0.08389795772983244
701,Graph-Aware,0,2000,0.05,1.3333333333333333,-0.08699632059255594
702,Graph-Agnostic-VR,0,2000,0.05,1.3333333333333333,-0.08389795772983256
703,OLS-Prop,0,2000,0.05,1.3333333333333333,-0.2790156010060843
704,OLS-Num,0,2000,0.05,1.3333333333333333,-0.03997009217088838
705,Diff-Means-Stnd,0,2000,0.05,1.3333333333333333,-0.5653883212513772
706,Diff-Means-Frac,0,2000,0.05,1.3333333333333333,-0.7260101163207601
707,Graph-Agnostic,1,2000,0.05,1.3333333333333333,-0.03735135597036862
708,Graph-Aware,1,2000,0.05,1.3333333333333333,-0.05373403339619926
709,Graph-Agnostic-VR,1,2000,0.05,1.3333333333333333,0.02409430215918222
710,OLS-Prop,1,2000,0.05,1.3333333333333333,-0.19688007800376423
711,OLS-Num,1,2000,0.05,1.3333333333333333,0.06922249842901589
712,Diff-Means-Stnd,1,2000,0.05,1.3333333333333333,-0.5740141567911036
713,Diff-Means-Frac,1,2000,0.05,1.3333333333333333,-0.6822068803632066
714,Graph-Agnostic,2,2000,0.05,1.3333333333333333,-0.09009764346212429
715,Graph-Aware,2,2000,0.05,1.3333333333333333,-0.06534264986503567
716,Graph-Agnostic-VR,2,2000,0.05,1.3333333333333333,-0.0001073005078289066
717,OLS-Prop,2,2000,0.05,1.3333333333333333,-0.26660284936476836
718,OLS-Num,2,2000,0.05,1.3333333333333333,0.012326214926487205
719,Diff-Means-Stnd,2,2000,0.05,1.3333333333333333,-0.5852082710723417
720,Diff-Means-Frac,2,2000,0.05,1.3333333333333333,-0.724479534889462
721,Graph-Agnostic,3,2000,0.05,1.3333333333333333,0.14072934689272884
722,Graph-Aware,3,2000,0.05,1.3333333333333333,0.14728472094521067
723,Graph-Agnostic-VR,3,2000,0.05,1.3333333333333333,-0.02501765222843677
724,OLS-Prop,3,2000,0.05,1.3333333333333333,-0.32264060891271007
725,OLS-Num,3,2000,0.05,1.3333333333333333,0.030917343095239174
726,Diff-Means-Stnd,3,2000,0.05,1.3333333333333333,-0.6141564417232344
727,Diff-Means-Frac,3,2000,0.05,1.3333333333333333,-0.7444357921073557
728,Graph-Agnostic,4,2000,0.05,1.3333333333333333,-0.18785328159945067
729,Graph-Aware,4,2000,0.05,1.3333333333333333,-0.12370372618089757
730,Graph-Agnostic-VR,4,2000,0.05,1.3333333333333333,0.015183398000686566
731,OLS-Prop,4,2000,0.05,1.3333333333333333,-0.26729486081689724
732,OLS-Num,4,2000,0.05,1.3333333333333333,0.048141327672895196
733,Diff-Means-Stnd,4,2000,0.05,1.3333333333333333,-0.5846687665402149
734,Diff-Means-Frac,4,2000,0.05,1.3333333333333333,-0.72927906108319
735,Graph-Agnostic,5,2000,0.05,1.3333333333333333,-0.13868108646584476
736,Graph-Aware,5,2000,0.05,1.3333333333333333,-0.15440392298078606
737,Graph-Agnostic-VR,5,2000,0.05,1.3333333333333333,-0.11204235718128325
738,OLS-Prop,5,2000,0.05,1.3333333333333333,-0.37256922701152273
739,OLS-Num,5,2000,0.05,1.3333333333333333,0.006370425728811794
740,Diff-Means-Stnd,5,2000,0.05,1.3333333333333333,-0.6216719702914555
741,Diff-Means-Frac,5,2000,0.05,1.3333333333333333,-0.7632266605405156
742,Graph-Agnostic,6,2000,0.05,1.3333333333333333,0.08465245867771679
743,Graph-Aware,6,2000,0.05,1.3333333333333333,0.07227666038183818
744,Graph-Agnostic-VR,6,2000,0.05,1.3333333333333333,-0.01395231029298471
745,OLS-Prop,6,2000,0.05,1.3333333333333333,-0.2646885049116669
746,OLS-Num,6,2000,0.05,1.3333333333333333,0.04849292540945694
747,Diff-Means-Stnd,6,2000,0.05,1.3333333333333333,-0.5802999105533249
748,Diff-Means-Frac,6,2000,0.05,1.3333333333333333,-0.7282106254415728
749,Graph-Agnostic,7,2000,0.05,1.3333333333333333,-0.11462896240157536
750,Graph-Aware,7,2000,0.05,1.3333333333333333,-0.10755724088195505
751,Graph-Agnostic-VR,7,2000,0.05,1.3333333333333333,-0.03764017652345151
752,OLS-Prop,7,2000,0.05,1.3333333333333333,-0.26161609276632036
753,OLS-Num,7,2000,0.05,1.3333333333333333,-0.003927253295651825
754,Diff-Means-Stnd,7,2000,0.05,1.3333333333333333,-0.5737331302623909
755,Diff-Means-Frac,7,2000,0.05,1.3333333333333333,-0.7112073558785333
756,Graph-Agnostic,8,2000,0.05,1.3333333333333333,0.09837170705828663
757,Graph-Aware,8,2000,0.05,1.3333333333333333,0.06818838642000401
758,Graph-Agnostic-VR,8,2000,0.05,1.3333333333333333,0.02651561407316508
759,OLS-Prop,8,2000,0.05,1.3333333333333333,-0.2395819107681046
760,OLS-Num,8,2000,0.05,1.3333333333333333,0.12021224471547474
761,Diff-Means-Stnd,8,2000,0.05,1.3333333333333333,-0.5828952254398428
762,Diff-Means-Frac,8,2000,0.05,1.3333333333333333,-0.6940600827368006
763,Graph-Agnostic,9,2000,0.05,1.3333333333333333,-0.055971303908576533
764,Graph-Aware,9,2000,0.05,1.3333333333333333,-0.026615179465656523
765,Graph-Agnostic-VR,9,2000,0.05,1.3333333333333333,-0.055971303908576533
766,OLS-Prop,9,2000,0.05,1.3333333333333333,-0.297609733817846
767,OLS-Num,9,2000,0.05,1.3333333333333333,-0.023393248999021152
768,Diff-Means-Stnd,9,2000,0.05,1.3333333333333333,-0.6245550921326382
769,Diff-Means-Frac,9,2000,0.05,1.3333333333333333,-0.7285038466724495
770,Graph-Agnostic,10,2000,0.05,1.3333333333333333,-0.1099016133130881
771,Graph-Aware,10,2000,0.05,1.3333333333333333,-0.09777723569098445
772,Graph-Agnostic-VR,10,2000,0.05,1.3333333333333333,-0.011001792570097847
773,OLS-Prop,10,2000,0.05,1.3333333333333333,-0.2824706376447177
774,OLS-Num,10,2000,0.05,1.3333333333333333,0.04111777131636859
775,Diff-Means-Stnd,10,2000,0.05,1.3333333333333333,-0.6012233140978607
776,Diff-Means-Frac,10,2000,0.05,1.3333333333333333,-0.7210581887639427
777,Graph-Agnostic,11,2000,0.05,1.3333333333333333,-0.02707770984889505
778,Graph-Aware,11,2000,0.05,1.3333333333333333,-0.029945996338060048
779,Graph-Agnostic-VR,11,2000,0.05,1.3333333333333333,0.02412872647484731
780,OLS-Prop,11,2000,0.05,1.3333333333333333,-0.22982382327679435
781,OLS-Num,11,2000,0.05,1.3333333333333333,0.07844290538910269
782,Diff-Means-Stnd,11,2000,0.05,1.3333333333333333,-0.5921563954440359
783,Diff-Means-Frac,11,2000,0.05,1.3333333333333333,-0.7058179210714464
784,Graph-Agnostic,12,2000,0.05,1.3333333333333333,0.08561143596283415
785,Graph-Aware,12,2000,0.05,1.3333333333333333,0.0708366446345818
786,Graph-Agnostic-VR,12,2000,0.05,1.3333333333333333,-0.02197167931276207
787,OLS-Prop,12,2000,0.05,1.3333333333333333,-0.25086595718951354
788,OLS-Num,12,2000,0.05,1.3333333333333333,0.019496096866328264
789,Diff-Means-Stnd,12,2000,0.05,1.3333333333333333,-0.5883337270403554
790,Diff-Means-Frac,12,2000,0.05,1.3333333333333333,-0.7261614057992087
791,Graph-Agnostic,13,2000,0.05,1.3333333333333333,-0.04071996175356627
792,Graph-Aware,13,2000,0.05,1.3333333333333333,-0.025496286786592652
793,Graph-Agnostic-VR,13,2000,0.05,1.3333333333333333,-0.011051506962439403
794,OLS-Prop,13,2000,0.05,1.3333333333333333,-0.2595065167261322
795,OLS-Num,13,2000,0.05,1.3333333333333333,0.02120717922495574
796,Diff-Means-Stnd,13,2000,0.05,1.3333333333333333,-0.5960548890763053
797,Diff-Means-Frac,13,2000,0.05,1.3333333333333333,-0.7366150784493606
798,Graph-Agnostic,14,2000,0.05,1.3333333333333333,0.04669891481024688
799,Graph-Aware,14,2000,0.05,1.3333333333333333,0.053419827153299924
800,Graph-Agnostic-VR,14,2000,0.05,1.3333333333333333,-0.012548193575238908
801,OLS-Prop,14,2000,0.05,1.3333333333333333,-0.24410817312469785
802,OLS-Num,14,2000,0.05,1.3333333333333333,0.013461233946341983
803,Diff-Means-Stnd,14,2000,0.05,1.3333333333333333,-0.5359568991064456
804,Diff-Means-Frac,14,2000,0.05,1.3333333333333333,-0.7071632126179842
805,Graph-Agnostic,15,2000,0.05,1.3333333333333333,-0.047620194371137445
806,Graph-Aware,15,2000,0.05,1.3333333333333333,-0.007012445837515906
807,Graph-Agnostic-VR,15,2000,0.05,1.3333333333333333,0.013170005988151658
808,OLS-Prop,15,2000,0.05,1.3333333333333333,-0.25241645348430897
809,OLS-Num,15,2000,0.05,1.3333333333333333,0.002735224234291653
810,Diff-Means-Stnd,15,2000,0.05,1.3333333333333333,-0.5478715562022485
811,Diff-Means-Frac,15,2000,0.05,1.3333333333333333,-0.7147128114973336
812,Graph-Agnostic,16,2000,0.05,1.3333333333333333,0.17166860325659153
813,Graph-Aware,16,2000,0.05,1.3333333333333333,0.13229819781403165
814,Graph-Agnostic-VR,16,2000,0.05,1.3333333333333333,-0.015404535078494546
815,OLS-Prop,16,2000,0.05,1.3333333333333333,-0.31517311467695114
816,OLS-Num,16,2000,0.05,1.3333333333333333,0.08906859073329831
817,Diff-Means-Stnd,16,2000,0.05,1.3333333333333333,-0.6440281493035646
818,Diff-Means-Frac,16,2000,0.05,1.3333333333333333,-0.7441305362002666
819,Graph-Agnostic,17,2000,0.05,1.3333333333333333,-0.10149603272423896
820,Graph-Aware,17,2000,0.05,1.3333333333333333,-0.09439402557863648
821,Graph-Agnostic-VR,17,2000,0.05,1.3333333333333333,-0.04414471566408401
822,OLS-Prop,17,2000,0.05,1.3333333333333333,-0.24955477967386652
823,OLS-Num,17,2000,0.05,1.3333333333333333,0.013576023956893868
824,Diff-Means-Stnd,17,2000,0.05,1.3333333333333333,-0.5464983749507288
825,Diff-Means-Frac,17,2000,0.05,1.3333333333333333,-0.7361179692920278
826,Graph-Agnostic,18,2000,0.05,1.3333333333333333,-0.15464539432910387
827,Graph-Aware,18,2000,0.05,1.3333333333333333,-0.1263891423867713
828,Graph-Agnostic-VR,18,2000,0.05,1.3333333333333333,0.006374530560590618
829,OLS-Prop,18,2000,0.05,1.3333333333333333,-0.2638378941380802
830,OLS-Num,18,2000,0.05,1.3333333333333333,0.0575826468877966
831,Diff-Means-Stnd,18,2000,0.05,1.3333333333333333,-0.5888994961341937
832,Diff-Means-Frac,18,2000,0.05,1.3333333333333333,-0.7258597283212183
833,Graph-Agnostic,19,2000,0.05,1.3333333333333333,0.041650257488480315
834,Graph-Aware,19,2000,0.05,1.3333333333333333,0.05148099291658696
835,Graph-Agnostic-VR,19,2000,0.05,1.3333333333333333,-0.017311077841056233
836,OLS-Prop,19,2000,0.05,1.3333333333333333,-0.26204178617252916
837,OLS-Num,19,2000,0.05,1.3333333333333333,0.002688489653478902
838,Diff-Means-Stnd,19,2000,0.05,1.3333333333333333,-0.5575394268250654
839,Diff-Means-Frac,19,2000,0.05,1.3333333333333333,-0.722683859536996
840,Graph-Agnostic,20,2000,0.05,1.3333333333333333,0.019072242622715282
841,Graph-Aware,20,2000,0.05,1.3333333333333333,0.017214273929581116
842,Graph-Agnostic-VR,20,2000,0.05,1.3333333333333333,-0.010609473181829794
843,OLS-Prop,20,2000,0.05,1.3333333333333333,-0.2915568282450337
844,OLS-Num,20,2000,0.05,1.3333333333333333,0.0731201572180062
845,Diff-Means-Stnd,20,2000,0.05,1.3333333333333333,-0.5726429474906579
846,Diff-Means-Frac,20,2000,0.05,1.3333333333333333,-0.7265881927719136
847,Graph-Agnostic,21,2000,0.05,1.3333333333333333,0.044582200573894996
848,Graph-Aware,21,2000,0.05,1.3333333333333333,0.023108521875921214
849,Graph-Agnostic-VR,21,2000,0.05,1.3333333333333333,0.06590020466723973
850,OLS-Prop,21,2000,0.05,1.3333333333333333,-0.1699834206531281
851,OLS-Num,21,2000,0.05,1.3333333333333333,0.16848056233054265
852,Diff-Means-Stnd,21,2000,0.05,1.3333333333333333,-0.5677572344222852
853,Diff-Means-Frac,21,2000,0.05,1.3333333333333333,-0.6930413210556464
854,Graph-Agnostic,22,2000,0.05,1.3333333333333333,0.12176016227551549
855,Graph-Aware,22,2000,0.05,1.3333333333333333,0.11675215350867475
856,Graph-Agnostic-VR,22,2000,0.05,1.3333333333333333,0.038666816921773615
857,OLS-Prop,22,2000,0.05,1.3333333333333333,-0.23328582820080193
858,OLS-Num,22,2000,0.05,1.3333333333333333,0.08331993279873404
859,Diff-Means-Stnd,22,2000,0.05,1.3333333333333333,-0.5472811730787558
860,Diff-Means-Frac,22,2000,0.05,1.3333333333333333,-0.698644861513284
861,Graph-Agnostic,23,2000,0.05,1.3333333333333333,-0.21378414744990837
862,Graph-Aware,23,2000,0.05,1.3333333333333333,-0.19428025413074104
863,Graph-Agnostic-VR,23,2000,0.05,1.3333333333333333,-0.06402874696417678
864,OLS-Prop,23,2000,0.05,1.3333333333333333,-0.2728154840803521
865,OLS-Num,23,2000,0.05,1.3333333333333333,-0.006355396280332166
866,Diff-Means-Stnd,23,2000,0.05,1.3333333333333333,-0.5762994197414257
867,Diff-Means-Frac,23,2000,0.05,1.3333333333333333,-0.7265554454780806
868,Graph-Agnostic,24,2000,0.05,1.3333333333333333,0.08832912608360026
869,Graph-Aware,24,2000,0.05,1.3333333333333333,0.04614625239437367
870,Graph-Agnostic-VR,24,2000,0.05,1.3333333333333333,-0.06980416574051264
871,OLS-Prop,24,2000,0.05,1.3333333333333333,-0.25527997451386103
872,OLS-Num,24,2000,0.05,1.3333333333333333,0.008050592332340522
873,Diff-Means-Stnd,24,2000,0.05,1.3333333333333333,-0.5919730553568269
874,Diff-Means-Frac,24,2000,0.05,1.3333333333333333,-0.7324953816355758
875,Graph-Agnostic,25,2000,0.05,1.3333333333333333,-0.07214435388248354
876,Graph-Aware,25,2000,0.05,1.3333333333333333,-0.07810051845865652
877,Graph-Agnostic-VR,25,2000,0.05,1.3333333333333333,-0.0129195254068973
878,OLS-Prop,25,2000,0.05,1.3333333333333333,-0.26923904691920736
879,OLS-Num,25,2000,0.05,1.3333333333333333,0.06371765873462841
880,Diff-Means-Stnd,25,2000,0.05,1.3333333333333333,-0.6069267158496946
881,Diff-Means-Frac,25,2000,0.05,1.3333333333333333,-0.7273557600669374
882,Graph-Agnostic,26,2000,0.05,1.3333333333333333,0.030620607660718703
883,Graph-Aware,26,2000,0.05,1.3333333333333333,0.06491762024361093
884,Graph-Agnostic-VR,26,2000,0.05,1.3333333333333333,-0.00901864648007821
885,OLS-Prop,26,2000,0.05,1.3333333333333333,-0.2731477177995315
886,OLS-Num,26,2000,0.05,1.3333333333333333,0.010978710359419525
887,Diff-Means-Stnd,26,2000,0.05,1.3333333333333333,-0.6126290960362458
888,Diff-Means-Frac,26,2000,0.05,1.3333333333333333,-0.7149189131088062
889,Graph-Agnostic,27,2000,0.05,1.3333333333333333,0.08505836517625856
890,Graph-Aware,27,2000,0.05,1.3333333333333333,0.05167092442315859
891,Graph-Agnostic-VR,27,2000,0.05,1.3333333333333333,-0.048194416512053945
892,OLS-Prop,27,2000,0.05,1.3333333333333333,-0.33197539957144095
893,OLS-Num,27,2000,0.05,1.3333333333333333,0.021783766360458878
894,Diff-Means-Stnd,27,2000,0.05,1.3333333333333333,-0.6121170395117768
895,Diff-Means-Frac,27,2000,0.05,1.3333333333333333,-0.7295893724419121
896,Graph-Agnostic,28,2000,0.05,1.3333333333333333,0.052090236114421005
897,Graph-Aware,28,2000,0.05,1.3333333333333333,0.04165458648398812
898,Graph-Agnostic-VR,28,2000,0.05,1.3333333333333333,0.011625227033097011
899,OLS-Prop,28,2000,0.05,1.3333333333333333,-0.2523899664227903
900,OLS-Num,28,2000,0.05,1.3333333333333333,0.08630363861694046
901,Diff-Means-Stnd,28,2000,0.05,1.3333333333333333,-0.559821875072257
902,Diff-Means-Frac,28,2000,0.05,1.3333333333333333,-0.7200792256776821
903,Graph-Agnostic,29,2000,0.05,1.3333333333333333,-0.13991430813429725
904,Graph-Aware,29,2000,0.05,1.3333333333333333,-0.10506923857774628
905,Graph-Agnostic-VR,29,2000,0.05,1.3333333333333333,9.964170430558463e-05
906,OLS-Prop,29,2000,0.05,1.3333333333333333,-0.2645217339990224
907,OLS-Num,29,2000,0.05,1.3333333333333333,0.05625650304588571
908,Diff-Means-Stnd,29,2000,0.05,1.3333333333333333,-0.5951326484238919
909,Diff-Means-Frac,29,2000,0.05,1.3333333333333333,-0.7263702818349577
910,Graph-Agnostic,30,2000,0.05,1.3333333333333333,0.035302758611572053
911,Graph-Aware,30,2000,0.05,1.3333333333333333,0.003981053933465449
912,Graph-Agnostic-VR,30,2000,0.05,1.3333333333333333,-0.05881567398947998
913,OLS-Prop,30,2000,0.05,1.3333333333333333,-0.3264411812058596
914,OLS-Num,30,2000,0.05,1.3333333333333333,0.027321631070316255
915,Diff-Means-Stnd,30,2000,0.05,1.3333333333333333,-0.6233100885630313
916,Diff-Means-Frac,30,2000,0.05,1.3333333333333333,-0.745017009201618
917,Graph-Agnostic,31,2000,0.05,1.3333333333333333,0.07511896179544789
918,Graph-Aware,31,2000,0.05,1.3333333333333333,0.07214912496681536
919,Graph-Agnostic-VR,31,2000,0.05,1.3333333333333333,-0.004519479819029672
920,OLS-Prop,31,2000,0.05,1.3333333333333333,-0.25005635453761604
921,OLS-Num,31,2000,0.05,1.3333333333333333,0.03621979105185844
922,Diff-Means-Stnd,31,2000,0.05,1.3333333333333333,-0.5774590407460317
923,Diff-Means-Frac,31,2000,0.05,1.3333333333333333,-0.7167842633518011
924,Graph-Agnostic,32,2000,0.05,1.3333333333333333,0.07158332727539128
925,Graph-Aware,32,2000,0.05,1.3333333333333333,0.09123199219114277
926,Graph-Agnostic-VR,32,2000,0.05,1.3333333333333333,0.020555549786086907
927,OLS-Prop,32,2000,0.05,1.3333333333333333,-0.23062133611214394
928,OLS-Num,32,2000,0.05,1.3333333333333333,0.04226616867526728
929,Diff-Means-Stnd,32,2000,0.05,1.3333333333333333,-0.5534609502561875
930,Diff-Means-Frac,32,2000,0.05,1.3333333333333333,-0.7197846564899981
931,Graph-Agnostic,33,2000,0.05,1.3333333333333333,-0.02400166268930545
932,Graph-Aware,33,2000,0.05,1.3333333333333333,-0.0323143386565535
933,Graph-Agnostic-VR,33,2000,0.05,1.3333333333333333,0.08444259701188278
934,OLS-Prop,33,2000,0.05,1.3333333333333333,-0.19165792041970742
935,OLS-Num,33,2000,0.05,1.3333333333333333,0.22606834807109683
936,Diff-Means-Stnd,33,2000,0.05,1.3333333333333333,-0.5493938909336455
937,Diff-Means-Frac,33,2000,0.05,1.3333333333333333,-0.6770333506294745
938,Graph-Agnostic,34,2000,0.05,1.3333333333333333,-0.07933730535144178
939,Graph-Aware,34,2000,0.05,1.3333333333333333,-0.08126898083629606
940,Graph-Agnostic-VR,34,2000,0.05,1.3333333333333333,0.04620760755517972
941,OLS-Prop,34,2000,0.05,1.3333333333333333,-0.21322084635850794
942,OLS-Num,34,2000,0.05,1.3333333333333333,0.11492578982663276
943,Diff-Means-Stnd,34,2000,0.05,1.3333333333333333,-0.5290033948934004
944,Diff-Means-Frac,34,2000,0.05,1.3333333333333333,-0.697394462673715
945,Graph-Agnostic,35,2000,0.05,1.3333333333333333,0.007364867919939887
946,Graph-Aware,35,2000,0.05,1.3333333333333333,0.02521295249110239
947,Graph-Agnostic-VR,35,2000,0.05,1.3333333333333333,0.03852048239169065
948,OLS-Prop,35,2000,0.05,1.3333333333333333,-0.2865093031947142
949,OLS-Num,35,2000,0.05,1.3333333333333333,0.13852887944897263
950,Diff-Means-Stnd,35,2000,0.05,1.3333333333333333,-0.5904134466073587
951,Diff-Means-Frac,35,2000,0.05,1.3333333333333333,-0.7179322154603521
952,Graph-Agnostic,36,2000,0.05,1.3333333333333333,-0.22323311340512791
953,Graph-Aware,36,2000,0.05,1.3333333333333333,-0.21161619058160394
954,Graph-Agnostic-VR,36,2000,0.05,1.3333333333333333,-0.05272330903064387
955,OLS-Prop,36,2000,0.05,1.3333333333333333,-0.321438411592895
956,OLS-Num,36,2000,0.05,1.3333333333333333,0.03164118649701701
957,Diff-Means-Stnd,36,2000,0.05,1.3333333333333333,-0.5681800334941726
958,Diff-Means-Frac,36,2000,0.05,1.3333333333333333,-0.7413882453719034
959,Graph-Agnostic,37,2000,0.05,1.3333333333333333,-0.032427725477024695
960,Graph-Aware,37,2000,0.05,1.3333333333333333,-0.03970785402456341
961,Graph-Agnostic-VR,37,2000,0.05,1.3333333333333333,-0.06964204372790841
962,OLS-Prop,37,2000,0.05,1.3333333333333333,-0.29470345682056814
963,OLS-Num,37,2000,0.05,1.3333333333333333,0.016812954056572255
964,Diff-Means-Stnd,37,2000,0.05,1.3333333333333333,-0.588756275305188
965,Diff-Means-Frac,37,2000,0.05,1.3333333333333333,-0.7460635094235248
966,Graph-Agnostic,38,2000,0.05,1.3333333333333333,0.021075230991397645
967,Graph-Aware,38,2000,0.05,1.3333333333333333,0.01601826814156728
968,Graph-Agnostic-VR,38,2000,0.05,1.3333333333333333,0.001054148030782034
969,OLS-Prop,38,2000,0.05,1.3333333333333333,-0.27298120725706915
970,OLS-Num,38,2000,0.05,1.3333333333333333,0.07574847622853383
971,Diff-Means-Stnd,38,2000,0.05,1.3333333333333333,-0.587877675884254
972,Diff-Means-Frac,38,2000,0.05,1.3333333333333333,-0.7153697883257398
973,Graph-Agnostic,39,2000,0.05,1.3333333333333333,-0.08672094356326857
974,Graph-Aware,39,2000,0.05,1.3333333333333333,-0.06514645121016528
975,Graph-Agnostic-VR,39,2000,0.05,1.3333333333333333,-0.058475199549761436
976,OLS-Prop,39,2000,0.05,1.3333333333333333,-0.3107118818849747
977,OLS-Num,39,2000,0.05,1.3333333333333333,0.005100023104341346
978,Diff-Means-Stnd,39,2000,0.05,1.3333333333333333,-0.6023325562132048
979,Diff-Means-Frac,39,2000,0.05,1.3333333333333333,-0.7391557221918785
980,Graph-Agnostic,40,2000,0.05,1.3333333333333333,0.04556854161753511
981,Graph-Aware,40,2000,0.05,1.3333333333333333,-0.004857110095122122
982,Graph-Agnostic-VR,40,2000,0.05,1.3333333333333333,-0.004220436554728581
983,OLS-Prop,40,2000,0.05,1.3333333333333333,-0.28074996083372084
984,OLS-Num,40,2000,0.05,1.3333333333333333,0.056321180625135386
985,Diff-Means-Stnd,40,2000,0.05,1.3333333333333333,-0.5917128668345385
986,Diff-Means-Frac,40,2000,0.05,1.3333333333333333,-0.6982949018622252
987,Graph-Agnostic,41,2000,0.05,1.3333333333333333,-0.02442450257349712
988,Graph-Aware,41,2000,0.05,1.3333333333333333,-0.0042556729672384285
989,Graph-Agnostic-VR,41,2000,0.05,1.3333333333333333,0.0720609861829703
990,OLS-Prop,41,2000,0.05,1.3333333333333333,-0.23251091697169562
991,OLS-Num,41,2000,0.05,1.3333333333333333,0.10833403941239556
992,Diff-Means-Stnd,41,2000,0.05,1.3333333333333333,-0.5422898307536838
993,Diff-Means-Frac,41,2000,0.05,1.3333333333333333,-0.7005191062500389
994,Graph-Agnostic,42,2000,0.05,1.3333333333333333,0.005500697828949866
995,Graph-Aware,42,2000,0.05,1.3333333333333333,0.0023888093007630746
996,Graph-Agnostic-VR,42,2000,0.05,1.3333333333333333,0.026021120233622217
997,OLS-Prop,42,2000,0.05,1.3333333333333333,-0.21737780387354438
998,OLS-Num,42,2000,0.05,1.3333333333333333,0.04528474480717164
999,Diff-Means-Stnd,42,2000,0.05,1.3333333333333333,-0.5199924891876723
1000,Diff-Means-Frac,42,2000,0.05,1.3333333333333333,-0.6958129402296499
1001,Graph-Agnostic,43,2000,0.05,1.3333333333333333,-0.005877622550982149
1002,Graph-Aware,43,2000,0.05,1.3333333333333333,-0.017603713936409644
1003,Graph-Agnostic-VR,43,2000,0.05,1.3333333333333333,0.03554414317606032
1004,OLS-Prop,43,2000,0.05,1.3333333333333333,-0.2210511572158641
1005,OLS-Num,43,2000,0.05,1.3333333333333333,0.11324398597026261
1006,Diff-Means-Stnd,43,2000,0.05,1.3333333333333333,-0.6098981028269567
1007,Diff-Means-Frac,43,2000,0.05,1.3333333333333333,-0.7111053787507975
1008,Graph-Agnostic,44,2000,0.05,1.3333333333333333,0.0026101739668424103
1009,Graph-Aware,44,2000,0.05,1.3333333333333333,-0.011504785603860278
1010,Graph-Agnostic-VR,44,2000,0.05,1.3333333333333333,-0.007316659438769856
1011,OLS-Prop,44,2000,0.05,1.3333333333333333,-0.28058333080387815
1012,OLS-Num,44,2000,0.05,1.3333333333333333,0.07252400834557342
1013,Diff-Means-Stnd,44,2000,0.05,1.3333333333333333,-0.603275787551373
1014,Diff-Means-Frac,44,2000,0.05,1.3333333333333333,-0.730866065449017
1015,Graph-Agnostic,45,2000,0.05,1.3333333333333333,-0.08929200561455987
1016,Graph-Aware,45,2000,0.05,1.3333333333333333,-0.059104975664945936
1017,Graph-Agnostic-VR,45,2000,0.05,1.3333333333333333,-0.010100006102782515
1018,OLS-Prop,45,2000,0.05,1.3333333333333333,-0.2380891483806666
1019,OLS-Num,45,2000,0.05,1.3333333333333333,0.04508521757445083
1020,Diff-Means-Stnd,45,2000,0.05,1.3333333333333333,-0.5428338119291257
1021,Diff-Means-Frac,45,2000,0.05,1.3333333333333333,-0.6992827110390865
1022,Graph-Agnostic,46,2000,0.05,1.3333333333333333,-0.08008125994149552
